2024-06-21 16:25:50,460 INFO    MainThread:4448 [wandb_setup.py:_flush():76] Current SDK version is 0.17.2
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_setup.py:_flush():76] Configure stats pid to 4448
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_setup.py:_flush():76] Loading settings from C:\Users\liquanbo\.config\wandb\settings
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_setup.py:_flush():76] Loading settings from F:\mycode\pykan\wandb\settings
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'torchkan-main\\exp2.py', 'program_abspath': 'f:\\mycode\\pykan\\torchkan-main\\exp2.py', 'program': 'f:\\mycode\\pykan\\torchkan-main\\exp2.py'}
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_init.py:_log_setup():520] Logging user logs to F:\mycode\pykan\wandb\run-20240621_162550-xxd2s0nw\logs\debug.log
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_init.py:_log_setup():521] Logging internal logs to F:\mycode\pykan\wandb\run-20240621_162550-xxd2s0nw\logs\debug-internal.log
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_init.py:init():560] calling init triggers
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_init.py:init():610] starting backend
2024-06-21 16:25:50,461 INFO    MainThread:4448 [wandb_init.py:init():614] setting up manager
2024-06-21 16:25:50,462 INFO    MainThread:4448 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-06-21 16:25:50,463 INFO    MainThread:4448 [wandb_init.py:init():622] backend started and connected
2024-06-21 16:25:50,465 INFO    MainThread:4448 [wandb_init.py:init():711] updated telemetry
2024-06-21 16:25:50,514 INFO    MainThread:4448 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-21 16:25:51,625 INFO    MainThread:4448 [wandb_run.py:_on_init():2402] communicating current version
2024-06-21 16:25:52,902 INFO    MainThread:4448 [wandb_run.py:_on_init():2411] got version response 
2024-06-21 16:25:52,902 INFO    MainThread:4448 [wandb_init.py:init():795] starting run threads in backend
2024-06-21 16:25:53,163 INFO    MainThread:4448 [wandb_run.py:_console_start():2380] atexit reg
2024-06-21 16:25:53,163 INFO    MainThread:4448 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-21 16:25:53,164 INFO    MainThread:4448 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-21 16:25:53,164 INFO    MainThread:4448 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-21 16:25:53,165 INFO    MainThread:4448 [wandb_init.py:init():838] run started, returning control to user process
2024-06-21 16:26:46,081 WARNING MsgRouterThr:4448 [router.py:message_loop():77] message_loop has been closed
