F:\mycode\pykan\kannet\Lib\site-packages\torch\nn\modules\loss.py:535: UserWarning: Using a target size (torch.Size([32, 1, 2])) that is different to the input size (torch.Size([32, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
F:\mycode\pykan\kannet\Lib\site-packages\torch\nn\modules\loss.py:535: UserWarning: Using a target size (torch.Size([12, 1, 2])) that is different to the input size (torch.Size([12, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
F:\mycode\pykan\kannet\Lib\site-packages\torch\nn\modules\loss.py:535: UserWarning: Using a target size (torch.Size([20, 1, 2])) that is different to the input size (torch.Size([20, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Epoch 0, KAN Train Loss: 0.3565666278203328, Validation Loss: 0.328972689807415
Epoch 1, KAN Train Loss: 0.3340472943252987, Validation Loss: 0.3130008950829506
Epoch 2, KAN Train Loss: 0.3232545504967372, Validation Loss: 0.29790979623794556
Epoch 3, KAN Train Loss: 0.3085639261537128, Validation Loss: 0.283620186150074
Epoch 4, KAN Train Loss: 0.2898092137442695, Validation Loss: 0.2701200135052204
Epoch 5, KAN Train Loss: 0.27876293659210205, Validation Loss: 0.25748034939169884
Epoch 6, KAN Train Loss: 0.26449501514434814, Validation Loss: 0.24555911123752594
Epoch 7, KAN Train Loss: 0.2538987613386578, Validation Loss: 0.23442387208342552
Epoch 8, KAN Train Loss: 0.24290952914290959, Validation Loss: 0.22391358390450478
Epoch 9, KAN Train Loss: 0.23143930402066973, Validation Loss: 0.21399546414613724
Epoch 10, KAN Train Loss: 0.22563471727901036, Validation Loss: 0.2092871591448784
Epoch 11, KAN Train Loss: 0.21881283322970072, Validation Loss: 0.20475761592388153
Epoch 12, KAN Train Loss: 0.21763501399093205, Validation Loss: 0.20040757954120636
Epoch 13, KAN Train Loss: 0.21470779014958274, Validation Loss: 0.19617760553956032
Epoch 14, KAN Train Loss: 0.2080268230703142, Validation Loss: 0.19202669709920883
Epoch 15, KAN Train Loss: 0.2040094749795066, Validation Loss: 0.18800575658679008
Epoch 16, KAN Train Loss: 0.1987423300743103, Validation Loss: 0.18413285166025162
Epoch 17, KAN Train Loss: 0.19387176798449623, Validation Loss: 0.1803079955279827
Epoch 18, KAN Train Loss: 0.192302159137196, Validation Loss: 0.17662695795297623
Epoch 19, KAN Train Loss: 0.1834106528096729, Validation Loss: 0.17306635156273842
Epoch 20, KAN Train Loss: 0.18421449926164415, Validation Loss: 0.17134997248649597
Epoch 21, KAN Train Loss: 0.18292061487833658, Validation Loss: 0.1696406565606594
Epoch 22, KAN Train Loss: 0.1803532209661272, Validation Loss: 0.16795165836811066
Epoch 23, KAN Train Loss: 0.1810371693637636, Validation Loss: 0.16628628596663475
Epoch 24, KAN Train Loss: 0.17511738008923, Validation Loss: 0.16462818160653114
Epoch 25, KAN Train Loss: 0.17551325923866695, Validation Loss: 0.16301395744085312
Epoch 26, KAN Train Loss: 0.17436165114243826, Validation Loss: 0.1614023558795452
Epoch 27, KAN Train Loss: 0.1699236830075582, Validation Loss: 0.15980030223727226
Epoch 28, KAN Train Loss: 0.16831575665209028, Validation Loss: 0.15822811052203178
Epoch 29, KAN Train Loss: 0.1692834364043342, Validation Loss: 0.1566765159368515
Epoch 30, KAN Train Loss: 0.16672939393255445, Validation Loss: 0.15591062977910042
Epoch 31, KAN Train Loss: 0.16326517942878935, Validation Loss: 0.1551504246890545
Epoch 32, KAN Train Loss: 0.1634339839220047, Validation Loss: 0.1544070616364479
Epoch 33, KAN Train Loss: 0.16331550313366783, Validation Loss: 0.15366189926862717
Epoch 34, KAN Train Loss: 0.16580450865957472, Validation Loss: 0.15291300788521767
Epoch 35, KAN Train Loss: 0.16547799607117972, Validation Loss: 0.15216515585780144
Epoch 36, KAN Train Loss: 0.1645462049378289, Validation Loss: 0.1514236442744732
Epoch 37, KAN Train Loss: 0.16105531652768454, Validation Loss: 0.15067558363080025
Epoch 38, KAN Train Loss: 0.16063757903046078, Validation Loss: 0.14993923529982567
Epoch 39, KAN Train Loss: 0.15851158565945095, Validation Loss: 0.149207953363657
Epoch 40, KAN Train Loss: 0.16299493776427376, Validation Loss: 0.14884500578045845
Epoch 41, KAN Train Loss: 0.15724051660961574, Validation Loss: 0.14848050102591515
Epoch 42, KAN Train Loss: 0.15935183068116507, Validation Loss: 0.1481255106627941
Epoch 43, KAN Train Loss: 0.1662169231308831, Validation Loss: 0.14776496961712837
Epoch 44, KAN Train Loss: 0.16125873393482631, Validation Loss: 0.14739954844117165
Epoch 45, KAN Train Loss: 0.15979424284564125, Validation Loss: 0.14703864976763725
Epoch 46, KAN Train Loss: 0.1569247775607639, Validation Loss: 0.14667445048689842
Epoch 47, KAN Train Loss: 0.15631228850947487, Validation Loss: 0.14631522074341774
Epoch 48, KAN Train Loss: 0.15484875192244849, Validation Loss: 0.14595599845051765
Epoch 49, KAN Train Loss: 0.15651983850532108, Validation Loss: 0.1455976851284504
Epoch 0, MLP Train Loss: 0.30623238947656417, Validation Loss: 0.2691936418414116
Epoch 1, MLP Train Loss: 0.2597987155119578, Validation Loss: 0.22234592214226723
Epoch 2, MLP Train Loss: 0.21443353427780998, Validation Loss: 0.15194739773869514
Epoch 3, MLP Train Loss: 0.12457284579674403, Validation Loss: 0.0727103753015399
Epoch 4, MLP Train Loss: 0.07894847666223843, Validation Loss: 0.06957532931119204
Epoch 5, MLP Train Loss: 0.06622805446386337, Validation Loss: 0.057590303011238575
Epoch 6, MLP Train Loss: 0.06461480922169155, Validation Loss: 0.057648299261927605
Epoch 7, MLP Train Loss: 0.060536937995089427, Validation Loss: 0.05851516965776682
Epoch 8, MLP Train Loss: 0.0624246961540646, Validation Loss: 0.05588327720761299
Epoch 9, MLP Train Loss: 0.06010376662015915, Validation Loss: 0.05577786173671484
Epoch 10, MLP Train Loss: 0.061554751876327723, Validation Loss: 0.055695886723697186
Epoch 11, MLP Train Loss: 0.059902729673518076, Validation Loss: 0.05546301417052746
Epoch 12, MLP Train Loss: 0.05788727187448078, Validation Loss: 0.05524962209165096
Epoch 13, MLP Train Loss: 0.05802661842770047, Validation Loss: 0.05497346632182598
Epoch 14, MLP Train Loss: 0.05805291939112875, Validation Loss: 0.05495438538491726
Epoch 15, MLP Train Loss: 0.05967291941245397, Validation Loss: 0.05490084830671549
Epoch 16, MLP Train Loss: 0.05845006224181917, Validation Loss: 0.05488492827862501
Epoch 17, MLP Train Loss: 0.05903852813773685, Validation Loss: 0.05474477633833885
Epoch 18, MLP Train Loss: 0.059776249859068126, Validation Loss: 0.05485482793301344
Epoch 19, MLP Train Loss: 0.05796635482046339, Validation Loss: 0.054696375504136086
Epoch 20, MLP Train Loss: 0.058737105379501976, Validation Loss: 0.05458906665444374
Epoch 21, MLP Train Loss: 0.05927490070462227, Validation Loss: 0.05453916359692812
Epoch 22, MLP Train Loss: 0.05987784225079748, Validation Loss: 0.054529269225895405
Epoch 23, MLP Train Loss: 0.059903685417440206, Validation Loss: 0.054543761536478996
Epoch 24, MLP Train Loss: 0.05809656572010782, Validation Loss: 0.05465265270322561
Epoch 25, MLP Train Loss: 0.059134947756926216, Validation Loss: 0.05449064448475838
Epoch 26, MLP Train Loss: 0.0571546968486574, Validation Loss: 0.0545100849121809
Epoch 27, MLP Train Loss: 0.061396664215458766, Validation Loss: 0.05441228672862053
